nCov-date,nCov-days,nCov-sincefirst,nCov-suspected,nCov-infected,nCov-growthpercent,nCov-allcases,nCov-serious,nCov-seriouspercent,nCov-dead,nCov-deadpercentall,nCov-deadpercent,nCov-recovered,nCov-recoveredpercent,nCov-deadrecov,nCov-deadcasepercent,nCov-quarantine,nCov-releaseday,nCov-release,nCov-quarantinetotal
10/01/2020,1,40,,41,,41,,,1,2.44,2.44,,,1,,739,,0,739
11/01/2020,2,41,,41,,41,,,1,2.44,2.44,,,1,,717,,46,763
12/01/2020,3,42,,41,,41,,,1,2.44,2.44,,,1,,687,,76,763
13/01/2020,4,43,,41,,41,,,1,2.44,2.44,,,1,,576,,187,763
15/01/2020,6,45,,,,,,,2,,,7,,9,22.2,119,,644,763
16/01/2020,7,46,,45,,45,5,11.11,,,,12,26.67,14,,98,,665,763
17/01/2020,8,47,,62,37.8,62,8,12.9,2,3.23,3.23,15,24.19,17,11.8,82,,681,763
18/01/2020,9,48,,121,95.2,121,,,,,,19,15.7,,,,,,
19/01/2020,10,49,,198,63.6,198,44,22.22,3,1.52,1.52,25,12.63,28,10.7,90,,727,817
20/01/2020,11,50,54,291,47,345,,,6,1.74,2.06,25,8.59,31,19.4,249,,739,988
21/01/2020,12,51,37,440,51.2,477,102,23.18,9,1.89,2.05,,,,,"1,394",,765,"[note 1] 2,197"
22/01/2020,13,52,257,571,29.8,828,95,16.64,17,2.05,2.98,,,,,"4,928",,969,"5,897"
23/01/2020,14,53,"1,072",830,45.4,"1,902",177,21.33,25,1.31,3.01,34,4.1,59,42.4,"8,420",,"1,087","9,507"
24/01/2020,15,54,"1,965","1,287",55.1,"3,252",237,18.41,41,1.26,3.19,38,2.95,79,51.9,"13,967",,"1,230","15,197"
25/01/2020,16,55,"2,684","1,975",53.5,"4,659",324,16.41,56,1.2,2.84,49,2.48,105,53.3,"21,556",325,[note 2],"23,431"
26/01/2020,17,56,"5,794","2,744",38.9,"8,538",461,16.8,80,0.94,2.92,51,1.86,131,61.1,"30,453",583,,"32,799"
27/01/2020,18,57,"6,973","4,515",64.5,"11,488",976,21.62,106,0.92,2.35,60,1.33,166,63.9,"44,132",914,,"47,833"
28/01/2020,19,58,"9,239","5,974",32.3,"15,213","1,239",20.74,132,0.87,2.21,103,1.72,235,56.2,"59,990","1,604",,"65,537"
29/01/2020,20,59,"12,167","7,711",29.1,"19,878","1,370",17.77,170,0.86,2.2,124,1.61,294,57.8,"81,947","2,364",,"88,693"
30/01/2020,21,60,"15,238","9,692",25.7,"24,930","1,527",15.76,213,0.85,2.2,171,1.76,384,55.5,"102,427","4,201",,"113,579"
31/01/2020,22,61,"17,988","11,791",21.7,"29,779","1,795",15.22,259,0.87,2.2,243,2.06,502,51.6,"118,478","6,509",,"136,987"
01/02/2020,23,62,"19,544","14,380",22,"33,924","2,110",14.67,304,0.9,2.11,328,2.28,632,48.1,"137,594","8,044",,"163,844"
02/02/2020,24,63,"21,558","17,205",19.6,"38,763","2,296",13.34,361,0.93,2.1,475,2.76,836,43.2,"152,700","10,055",,"189,583"
03/02/2020,25,64,23214,20440,18.8,43654,2788,13.64,425,0.97,2.08,632,3.09,1057,40.2,171329,12755,,
04/02/2020,26,65,23260,24324,19,47584,3219,13.23,490,1.03,2.01,892,3.67,1382,35.5,185555,18457,,
05/02/2020,27,66,24702,28018,15.1,52720,3859,13.77,563,1.07,2.01,1153,4.12,1716,32.8,186354,,,
06/02/2020,28,67,26359,31161,11.2,57520,4821,15.47,637,1.11,2.04,1540,4.94,2177,29.3,186045,,,
07/02/2020,29,68,"27,657","34,546",10.9,"62,203","6,101",17.66,722,1.16,2.09,"2,050",5.93,"2,773",26,"189,660",,,
08/02/2020,30,69,"28,942","37,198",7.7,"66,140","6,188",16.64,811,1.23,2.18,"2,649",7.12,"3,460",23.4,"188,183",,,
09/02/2020,31,70,"28,942","39,752",6.8,"68,694","6,305",15.86,902,1.31,2.27,"3,005",7.56,"3,907",,,,,
01/05/2020,113,,,,,,,,,,,,,,,,,,
