Swine-date	Swine-days	Swine-infected	Swine-dead	Swine-deadpercent	Swine-growthpercent
24/04/2009	1	25			
26/04/2009	3	38			52
27/04/2009	4	73	6	8.22	92.11
28/04/2009	5	105	6	5.71	43.84
29/04/2009	6	148	6	4.05	40.95
30/04/2009	7	257	8	3.11	73.65
01/05/2009	8	367	10	2.72	42.8
02/05/2009	9	658	17	2.58	79.29
03/05/2009	10	898	20	2.23	36.47
04/05/2009	11	1085		0	20.82
05/05/2009	12	1490	26	1.74	37.33
06/05/2009	13	1894	31	1.64	27.11
07/05/2009	14	2371		0	25.18
08/05/2009	15	2500	46	1.84	5.44
09/05/2009	16	3440	48	1.4	37.6
10/05/2009	17	4379	49	1.12	27.3
11/05/2009	18	4694	53	1.13	7.19
12/05/2009	19	5251			11.87
13/05/2009	20	5728	61	1.06	9.08
14/05/2009	21	6397		0	11.68
15/05/2009	22	7520	65	0.86	17.56
16/05/2009	23	8451			12.38
17/05/2009	24	8480	72	0.85	0.34
18/05/2009	25	8829	74	0.84	4.12
19/05/2009	26	9830	79	0.8	11.34
20/05/2009	27	10243	80	0.78	4.2
21/05/2009	28	11034	85	0.77	7.72
22/05/2009	29	11168	86	0.77	1.21
23/05/2009	30	12021			7.64
25/05/2009	32	12514	91	0.73	4.1
26/05/2009	33	12950	92	0.71	3.48
27/05/2009	34	13394	95	0.71	3.43
29/05/2009	36	15501	99	0.64	15.73
01/06/2009	39	17398	115	0.66	12.24
03/06/2009	41	19259	117	0.61	10.7
05/06/2009	43	21924	125	0.57	13.84
08/06/2009	46	25272	139	0.55	15.27
10/06/2009	48	27713	141	0.51	9.66
11/06/2009	49	28738	144	0.5	3.7
12/06/2009	50	29633	145	0.49	3.11
15/06/2009	53	35891	163	0.45	21.12
17/06/2009	55	39620	167	0.42	10.39
19/06/2009	57	44287	180	0.41	11.78
22/06/2009	60	52160	231	0.44	17.78
24/06/2009	62	55867	238	0.43	7.11
26/06/2009	64	59814	263	0.44	7.06
29/06/2009	67	70893	311	0.44	18.52
01/07/2009	69	77201	332	0.43	8.9
03/07/2009	71	89921	382	0.42	16.48
06/07/2009	74	94512	429	0.45	5.11
08/07/2009	76	101922			7.84
15/07/2009	83	125993	667	0.53	23.62
16/07/2009	84	128325	679	0.53	1.85
17/07/2009	85	130727	702	0.54	1.87
20/07/2009	88	141962	781	0.55	8.59
22/07/2009	90	164541	883	0.54	15.9
24/07/2009	92	159294	917	0.58	0
27/07/2009	95	163859	998	0.61	2.87
29/07/2009	97	175769	1116	0.63	7.27
31/07/2009	99	183590	1152	0.63	4.45
03/08/2009	102	188333	1265	0.67	2.58
05/08/2009	104	199082	1444	0.73	5.71
07/08/2009	106		1569		
09/08/2009	108	208269			
10/08/2009	109	212008	1717	0.81	1.8
12/08/2009	111	219681	1882	0.86	3.62
14/08/2009	113	226065	2004	0.89	2.91
