date	place	confirmed	deaths	recovered	suspected	serious
2020-01-24	Anhui	15	0			
2020-01-24	Beijing	36	0			
2020-01-24	Chongqing	27	0			
2020-01-24	France	3	0			
2020-01-24	Fujian	10	0			
2020-01-24	Gansu	2	0			
2020-01-24	Guangdong	53	0			
2020-01-24	Guangxi	23	0			
2020-01-24	Guizhou	3	0			
2020-01-24	Hainan	8	0			
2020-01-24	Hebei	2	1			
2020-01-24	Heilongjiang	4	1			
2020-01-24	Henan	9	0			
2020-01-24	Hong Kong	5	0			
2020-01-24	Hubei	729	39			
2020-01-24	Hunan	24	0			
2020-01-24	Inner Mongolia	1	0			
2020-01-24	Japan	2	0			
2020-01-24	Jiangsu	9	0			
2020-01-24	Jiangxi	18	0			
2020-01-24	Jilin	3	0			
2020-01-24	Liaoning	4	0			
2020-01-24	Macau	2	0			
2020-01-24	Nepal	1	0			
2020-01-24	Ningxia	2	0			
2020-01-24	Shaanxi	5	0			
2020-01-24	Shandong	15	0			
2020-01-24	Shanghai	20	0			
2020-01-24	Shanxi	1	0			
2020-01-24	Sichuan	15	0			
2020-01-24	Singapore	3	0			
2020-01-24	South Korea	2	0			
2020-01-24	Taiwan	3	0			
2020-01-24	Thailand	5	0			
2020-01-24	Tianjin	8	0			
2020-01-24	United States	2	0			
2020-01-24	Vietnam	2	0			
2020-01-24	Xinjiang	2	0			
2020-01-24	Yunnan	5	0			
2020-01-24	Zhejiang	43	0			
2020-01-25	Anhui	39	0			
2020-01-25	Australia	4	0			
2020-01-25	Beijing	51	0			
2020-01-25	Chongqing	57	0			
2020-01-25	France	3	0			
2020-01-25	Fujian	18	0			
2020-01-25	Gansu	2	0			
2020-01-25	Guangdong	78	0			
2020-01-25	Guangxi	33	0			
2020-01-25	Guizhou	5	0			
2020-01-25	Hainan	19	0			
2020-01-25	Hebei	8	1			
2020-01-25	Heilongjiang	9	1			
2020-01-25	Henan	32	0			
2020-01-25	Hong Kong	5	0			
2020-01-25	Hubei	1	52			
2020-01-25	Hunan	43	0			
2020-01-25	Inner Mongolia	2	0			
2020-01-25	Japan	3	0			
2020-01-25	Jiangsu	18	0			
2020-01-25	Jiangxi	36	0			
2020-01-25	Jilin	4	0			
2020-01-25	Liaoning	16	0			
2020-01-25	Macau	2	0			
2020-01-25	Malaysia	4	0			
2020-01-25	Nepal	1	0			
2020-01-25	Ningxia	3	0			
2020-01-25	Qinghai	1	0			
2020-01-25	Shaanxi	15	0			
2020-01-25	Shandong	27	0			
2020-01-25	Shanghai	33	0			
2020-01-25	Shanxi	9	0			
2020-01-25	Sichuan	28	0			
2020-01-25	Singapore	4	0			
2020-01-25	South Korea	2	0			
2020-01-25	Taiwan	3	0			
2020-01-25	Thailand	5	0			
2020-01-25	Tianjin	10	0			
2020-01-25	United States	2	0			
2020-01-25	Vietnam	2	0			
2020-01-25	Xinjiang	3	0			
2020-01-25	Yunnan	11	0			
2020-01-25	Zhejiang	62	0			
2020-01-26	Anhui	60	0			
2020-01-26	Australia	4	0			
2020-01-26	Beijing	68	0			
2020-01-26	Chongqing	75	0			
2020-01-26	France	3	0			
2020-01-26	Fujian	35	0			
2020-01-26	Gansu	7	0			
2020-01-26	Guangdong	111	0			
2020-01-26	Guangxi	36	0			
2020-01-26	Guizhou	5	0			
2020-01-26	Hainan	22	0			
2020-01-26	Hebei	13	1			
2020-01-26	Heilongjiang	16	1			
2020-01-26	Henan	83	1			
2020-01-26	Hong Kong	6	0			
2020-01-26	Hubei	1	52			
2020-01-26	Hunan	69	0			
2020-01-26	Inner Mongolia	7	0			
2020-01-26	Japan	4	0			
2020-01-26	Jiangsu	33	0			
2020-01-26	Jiangxi	48	0			
2020-01-26	Jilin	4	0			
2020-01-26	Liaoning	21	0			
2020-01-26	Macau	5	0			
2020-01-26	Malaysia	4	0			
2020-01-26	Nepal	1	0			
2020-01-26	Ningxia	4	0			
2020-01-26	Qinghai	1	0			
2020-01-26	Shaanxi	22	0			
2020-01-26	Shandong	46	0			
2020-01-26	Shanghai	40	1			
2020-01-26	Shanxi	9	0			
