date	place	confirmed	deaths	recovered	suspected	serious
2020-01-24	CHINA TOTAL	1	41			
2020-01-24	INTERNATIONAL TOTAL	20	0			
2020-01-25	CHINA TOTAL	1	54			
2020-01-25	INTERNATIONAL TOTAL	30	0			
2020-01-26	CHINA TOTAL	2	56			
2020-01-26	INTERNATIONAL TOTAL	38	0			
2020-01-27	CHINA TOTAL	4	106			
2020-01-27	GREATER CHINA TOTAL	19	0			
2020-01-27	INTERNATIONAL TOTAL	45	0			
2020-01-28	CHINA TOTAL	4	106			
2020-01-28	GREATER CHINA TOTAL	22	0			
2020-01-28	INTERNATIONAL TOTAL	55	0			
2020-01-29	CHINA TOTAL	7	169			
2020-01-29	GREATER CHINA TOTAL	23	0			
2020-01-29	INTERNATIONAL TOTAL	77	0			
2020-01-30	CHINA TOTAL	7	170			
2020-01-30	GREATER CHINA TOTAL	26	0			
2020-01-30	INTERNATIONAL TOTAL	92	0			
2020-01-31	INTERNATIONAL TOTAL	130	0			2
2020-01-31	MAINLAND CHINA TOTAL	11793	259	243	17988	1795
2020-01-31	REGIONS TOTAL	30	0			0
2020-02-01	INTERNATIONAL TOTAL	146	1			2
2020-02-01	MAINLAND CHINA TOTAL	14380	304	328	19544	2110
2020-02-01	REGIONS TOTAL	30	0			0
2020-02-02	INTERNATIONAL TOTAL	152	1			2
2020-02-02	MAINLAND CHINA TOTAL	17205	361	475	21558	2296
2020-02-02	REGIONS TOTAL	32	0			0
2020-02-03	INTERNATIONAL TOTAL	157	1			1
2020-02-03	MAINLAND CHINA TOTAL	20438	425	632	23214	2788
2020-02-03	REGIONS TOTAL	34	1			0
2020-02-04	CHINA TOTAL	24	490			
2020-02-04	GREATER CHINA TOTAL	39	1			
2020-02-04	INTERNATIONAL TOTAL	190	1			
2020-02-05	INTERNATIONAL TOTAL	216	1			4
2020-02-05	MAINLAND CHINA TOTAL	28018	563	1153	24702	3859
2020-02-05	REGIONS TOTAL	42	1			0
2020-02-06	INTERNATIONAL TOTAL	270	1			5
2020-02-06	MAINLAND CHINA TOTAL	31161	637	1540	26359	4821
2020-02-06	REGIONS TOTAL	50	1			0
2020-02-07	INTERNATIONAL TOTAL	280	1			5
2020-02-07	MAINLAND CHINA TOTAL	34546	722	2050	27657	6101
2020-02-07	REGIONS TOTAL	52	1			0
2020-02-10	INTERNATIONAL TOTAL	394	1			12
2020-02-10	MAINLAND CHINA TOTAL	42638	1016	3996	21675	7333
2020-02-10	REGIONS TOTAL	70	1			0
2020-02-11	INTERNATIONAL TOTAL	441	1			16
2020-02-11	MAINLAND CHINA TOTAL	44653	1113	4740	16067	8204
2020-02-11	REGIONS TOTAL	77	1			0
2020-02-12	INTERNATIONAL TOTAL	446	1			17
2020-02-12	MAINLAND CHINA TOTAL	59493	1353	5542	16067	8047
2020-02-12	REGIONS TOTAL	78	1			6
2020-02-13	INTERNATIONAL TOTAL	506	2			17
2020-02-13	MAINLAND CHINA TOTAL	63851	1380	6723	10109	10204
2020-02-13	REGIONS TOTAL	81	1			6
2020-02-14	INTERNATIONAL TOTAL	506	2			17
2020-02-14	MAINLAND CHINA TOTAL	63851	1380	6723	10109	10204
2020-02-14	REGIONS TOTAL	81	1			6
