date	country	confirmed	deaths	recovered
2020-02-01	Australia	12		2
2020-02-02	Australia	12		2
2020-02-03	Australia	12		2
2020-02-04	Australia	12		2
2020-02-05	Australia	14		2
2020-02-06	Australia	15		3
2020-02-07	Australia	15		3
2020-02-08	Australia	15		3
2020-02-09	Australia	15		3
2020-02-10	Australia	15		5
2020-02-11	Australia	15		5
2020-02-12	Australia	15		5
2020-02-04	Belgium	1		
2020-02-05	Belgium	1		
2020-02-06	Belgium	1		
2020-02-07	Belgium	1		
2020-02-08	Belgium	1		
2020-02-09	Belgium	1		
2020-02-10	Belgium	1		
2020-02-12	Belgium	1		
2020-02-01	Cambodia	1		
2020-02-02	Cambodia	1		
2020-02-03	Cambodia	1		
2020-02-04	Cambodia	1		
2020-02-05	Cambodia	1		
2020-02-06	Cambodia	1		1
2020-02-07	Cambodia	1		1
2020-02-08	Cambodia	1		1
2020-02-09	Cambodia	1		1
2020-02-10	Cambodia	1		1
2020-02-11	Cambodia	1		1
2020-02-12	Cambodia	1		1
2020-02-01	Canada	4		
2020-02-02	Canada	4		
2020-02-03	Canada	4		
2020-02-04	Canada	4		
2020-02-05	Canada	5		
2020-02-06	Canada	5		
2020-02-07	Canada	5		
2020-02-08	Canada	5		
2020-02-09	Canada	5		
2020-02-10	Canada	7		
2020-02-11	Canada	7		
2020-02-12	Canada	7		
2020-02-01	China	11860	259	243
2020-02-02	China	16577	360	408
2020-02-03	China	17345	361	475
2020-02-04	China	20523	426	735
2020-02-05	China	24348	491	892
2020-02-06	China	28089	564	1153
2020-02-07	China	28089	564	1153
2020-02-08	China	28089	564	1153
2020-02-09	China	28089	564	1153
2020-02-10	China	40194	908	3417
2020-02-11	China	40194	908	3417
2020-02-12	China	40194	908	3417
2020-02-01	Finland	1		
2020-02-02	Finland	1		
2020-02-03	Finland	1		
2020-02-04	Finland	1		
2020-02-05	Finland	1		
2020-02-06	Finland	1		1
2020-02-07	Finland	1		1
2020-02-08	Finland	1		1
2020-02-09	Finland	1		1
2020-02-10	Finland	1		1
2020-02-11	Finland	1		1
2020-02-12	Finland	1		1
2020-02-01	France	6		
