place	confirmed	deaths	suspected	positive	negative	recovered	updated
Australia	14		72	12	6	2	2020-02-06 01:10:15
Austria			3		2		2020-02-06 01:10:15
Belgium	1		9	1	8		2020-02-06 01:10:15
Brazil			12	1	8		2020-02-06 01:10:15
Cambodia	1		1	1			2020-02-06 01:10:15
Canada	5		19	2	3		2020-02-06 01:10:15
China	24348	491	23260			892	2020-02-06 01:10:15
Colombia			1				2020-02-06 01:10:15
Croatia					1		2020-02-06 01:10:15
Czech Rep.			4		4		2020-02-06 01:10:15
Ecuador			1				2020-02-06 01:10:15
Fiji			6				2020-02-06 01:10:15
Finland	1		15	1			2020-02-06 01:10:15
France	6		6	3	1		2020-02-06 01:10:15
Germany	12		42	8	7		2020-02-06 01:10:15
Hong Kong	21	1					2020-02-06 01:10:15
India	3		284		3		2020-02-06 01:10:15
Israel			2				2020-02-06 01:10:15
Italy	2		11		4		2020-02-06 01:10:15
Japan	33			20		1	2020-02-06 01:10:15
Luxembourg					1		2020-02-06 01:10:15
Malaysia	12						2020-02-06 01:10:15
Mexico							2020-02-06 01:10:15
Mongolia			2				2020-02-06 01:10:15
Nepal	1		1	1			2020-02-06 01:10:15
New Zealand							2020-02-06 01:10:15
Peru			4		5		2020-02-06 01:10:15
Philippines	3	1	23				2020-02-06 01:10:15
Romania			1		1		2020-02-06 01:10:15
Russia	2		236	2	67		2020-02-06 01:10:15
Samoa			2				2020-02-06 01:10:15
Singapore	24		64		29	1	2020-02-06 01:10:15
Slovenia							2020-02-06 01:10:15
South Korea	18		70		259		2020-02-06 01:10:15
Spain	1		3		3		2020-02-06 01:10:15
Sri Lanka	1					1	2020-02-06 01:10:15
Sweden	1						2020-02-06 01:10:15
Switzerland			6		4		2020-02-06 01:10:15
Taiwan	11		239		583		2020-02-06 01:10:15
Thailand	25					8	2020-02-06 01:10:15
Turkey	1		19		18		2020-02-06 01:10:15
UAE	5						2020-02-06 01:10:15
Ukraine	1		1				2020-02-06 01:10:15
United Kingdom	2		203	2	201		2020-02-06 01:10:15
United States	11		241	6	114		2020-02-06 01:10:15
Vietnam	10					3	2020-02-06 01:10:15
