country	confirmed	deaths	updated
China	63851	1380	2020-02-14 06:49:21
Cruise ship (Diamond Princess)	219		2020-02-14 06:49:21
Singapore	58		2020-02-14 06:49:21
Hong Kong 	51	1	2020-02-14 06:49:21
Thailand	33		2020-02-14 06:49:21
Japan	32	1	2020-02-14 06:49:21
South Korea	28		2020-02-14 06:49:21
Malaysia	19		2020-02-14 06:49:21
Taiwan	18		2020-02-14 06:49:21
Germany 	16		2020-02-14 06:49:21
Australia	15		2020-02-14 06:49:21
United States	15		2020-02-14 06:49:21
Vietnam	15		2020-02-14 06:49:21
France 	11		2020-02-14 06:49:21
Macau 	10		2020-02-14 06:49:21
United Kingdom	9		2020-02-14 06:49:21
United Arab Emirates 	8		2020-02-14 06:49:21
Canada	7		2020-02-14 06:49:21
Philippines	3	1	2020-02-14 06:49:21
India	3		2020-02-14 06:49:21
Italy	3		2020-02-14 06:49:21
Russia	2		2020-02-14 06:49:21
Spain	2		2020-02-14 06:49:21
Belgium 	1		2020-02-14 06:49:21
Cambodia 	1		2020-02-14 06:49:21
Finland 	1		2020-02-14 06:49:21
Nepal	1		2020-02-14 06:49:21
Sri Lanka	1		2020-02-14 06:49:21
Sweden	1		2020-02-14 06:49:21
