date	place	confirmed	deaths	updated
2020-02-12	Anhui	889	4	2020-02-12 16:34:33
2020-02-12	Beijing	352	3	2020-02-12 16:34:33
2020-02-12	CHINA TOTAL	44742	1114	2020-02-12 16:34:33
2020-02-12	Chongqing	505	3	2020-02-12 16:34:33
2020-02-12	Fujian	272	0	2020-02-12 16:34:33
2020-02-12	Gansu	86	2	2020-02-12 16:34:33
2020-02-12	Guangdong	1219	1	2020-02-12 16:34:33
2020-02-12	Guangxi	222	1	2020-02-12 16:34:33
2020-02-12	Guizhou	131	1	2020-02-12 16:34:33
2020-02-12	Hainan	151	3	2020-02-12 16:34:33
2020-02-12	Hebei	251	2	2020-02-12 16:34:33
2020-02-12	Heilongjiang	378	8	2020-02-12 16:34:33
2020-02-12	Henan	1135	8	2020-02-12 16:34:33
2020-02-12	Hong Kong	49	1	2020-02-12 16:34:33
2020-02-12	Hubei	33366	1068	2020-02-12 16:34:33
2020-02-12	Hunan	946	2	2020-02-12 16:34:33
2020-02-12	Inner Mongolia	60	0	2020-02-12 16:34:33
2020-02-12	Jiangsu	543	0	2020-02-12 16:34:33
2020-02-12	Jiangxi	844	1	2020-02-12 16:34:33
2020-02-12	Jilin	83	1	2020-02-12 16:34:33
2020-02-12	Liaoning	116	0	2020-02-12 16:34:33
2020-02-12	Macau	10	0	2020-02-12 16:34:33
2020-02-12	Ningxia	58	0	2020-02-12 16:34:33
2020-02-12	Qinghai	18	0	2020-02-12 16:34:33
2020-02-12	Shaanxi	225	0	2020-02-12 16:34:33
2020-02-12	Shandong	497	1	2020-02-12 16:34:33
2020-02-12	Shanghai	306	1	2020-02-12 16:34:33
2020-02-12	Shanxi	124	0	2020-02-12 16:34:33
2020-02-12	Sichuan	436	1	2020-02-12 16:34:33
2020-02-12	Taiwan	18	0	2020-02-12 16:34:33
2020-02-12	Tianjin	107	2	2020-02-12 16:34:33
2020-02-12	Tibet	1	0	2020-02-12 16:34:33
2020-02-12	Xinjiang	59	0	2020-02-12 16:34:33
2020-02-12	Yunnan	154	0	2020-02-12 16:34:33
2020-02-12	Zhejiang	1131	0	2020-02-12 16:34:33
2020-02-10	Anhui	830	3	2020-02-11 00:06:48
2020-02-10	Beijing	337	2	2020-02-11 00:06:48
2020-02-10	CHINA TOTAL	40261	909	2020-02-11 00:06:48
2020-02-10	Chongqing	473	2	2020-02-11 00:06:48
2020-02-10	Fujian	261	0	2020-02-11 00:06:48
2020-02-10	Gansu	83	2	2020-02-11 00:06:48
2020-02-10	Guangdong	1159	1	2020-02-11 00:06:48
2020-02-10	Guangxi	210	1	2020-02-11 00:06:48
2020-02-10	Guizhou	109	1	2020-02-11 00:06:48
2020-02-10	Hainan	138	3	2020-02-11 00:06:48
2020-02-10	Hebei	218	2	2020-02-11 00:06:48
2020-02-10	Heilongjiang	331	7	2020-02-11 00:06:48
2020-02-10	Henan	1073	6	2020-02-11 00:06:48
2020-02-10	Hong Kong	38	1	2020-02-11 00:06:48
2020-02-10	Hubei	29631	871	2020-02-11 00:06:48
2020-02-10	Hunan	879	1	2020-02-11 00:06:48
2020-02-10	Inner Mongolia	58	0	2020-02-11 00:06:48
2020-02-10	Jiangsu	492	0	2020-02-11 00:06:48
2020-02-10	Jiangxi	771	1	2020-02-11 00:06:48
2020-02-10	Jilin	80	1	2020-02-11 00:06:48
2020-02-10	Liaoning	108	0	2020-02-11 00:06:48
2020-02-10	Macau	10	0	2020-02-11 00:06:48
2020-02-10	Ningxia	49	0	2020-02-11 00:06:48
2020-02-10	Qinghai	18	0	2020-02-11 00:06:48
2020-02-10	Shaanxi	213	0	2020-02-11 00:06:48
2020-02-10	Shandong	466	1	2020-02-11 00:06:48
2020-02-10	Shanghai	299	1	2020-02-11 00:06:48
2020-02-10	Shanxi	119	0	2020-02-11 00:06:48
2020-02-10	Sichuan	405	1	2020-02-11 00:06:48
2020-02-10	Taiwan	18	0	2020-02-11 00:06:48
2020-02-10	Tianjin	94	1	2020-02-11 00:06:48
2020-02-10	Tibet	1	0	2020-02-11 00:06:48
2020-02-10	Xinjiang	49	0	2020-02-11 00:06:48
2020-02-10	Yunnan	149	0	2020-02-11 00:06:48
2020-02-10	Zhejiang	1092	0	2020-02-11 00:06:48
2020-02-09	Anhui	779	1	2020-02-10 03:32:09
2020-02-09	Beijing	326	2	2020-02-10 03:32:09
2020-02-09	CHINA TOTAL	37289	813	2020-02-10 03:32:09
2020-02-09	Chongqing	450	2	2020-02-10 03:32:09
2020-02-09	Fujian	250	0	2020-02-10 03:32:09
2020-02-09	Gansu	79	1	2020-02-10 03:32:09
2020-02-09	Guangdong	1131	1	2020-02-10 03:32:09
2020-02-09	Guangxi	195	1	2020-02-10 03:32:09
2020-02-09	Guizhou	99	1	2020-02-10 03:32:09
2020-02-09	Hainan	131	3	2020-02-10 03:32:09
2020-02-09	Hebei	206	2	2020-02-10 03:32:09
2020-02-09	Heilongjiang	307	6	2020-02-10 03:32:09
2020-02-09	Henan	1033	6	2020-02-10 03:32:09
2020-02-09	Hong Kong	29	1	2020-02-10 03:32:09
2020-02-09	Hubei	27100	780	2020-02-10 03:32:09
2020-02-09	Hunan	838	1	2020-02-10 03:32:09
2020-02-09	Inner Mongolia	54	0	2020-02-10 03:32:09
2020-02-09	Jiangsu	468	0	2020-02-10 03:32:09
2020-02-09	Jiangxi	740	0	2020-02-10 03:32:09
2020-02-09	Jilin	78	1	2020-02-10 03:32:09
2020-02-09	Liaoning	107	0	2020-02-10 03:32:09
2020-02-09	Macau	10	0	2020-02-10 03:32:09
2020-02-09	Ningxia	45	0	2020-02-10 03:32:09
2020-02-09	Qinghai	18	0	2020-02-10 03:32:09
2020-02-09	Shaanxi	208	0	2020-02-10 03:32:09
2020-02-09	Shandong	444	1	2020-02-10 03:32:09
2020-02-09	Shanghai	293	1	2020-02-10 03:32:09
2020-02-09	Shanxi	115	0	2020-02-10 03:32:09
2020-02-09	Sichuan	386	1	2020-02-10 03:32:09
2020-02-09	Taiwan	18	0	2020-02-10 03:32:09
2020-02-09	Tianjin	90	1	2020-02-10 03:32:09
2020-02-09	Tibet	1	0	2020-02-10 03:32:09
2020-02-09	Xinjiang	45	0	2020-02-10 03:32:09
2020-02-09	Yunnan	141	0	2020-02-10 03:32:09
2020-02-09	Zhejiang	1075	0	2020-02-10 03:32:09
2020-02-08	Anhui	733	0	2020-02-08 21:01:44
2020-02-08	Beijing	315	2	2020-02-08 21:01:44
2020-02-08	CHINA TOTAL	34631	723	2020-02-08 21:01:44
2020-02-08	Chongqing	426	2	2020-02-08 21:01:44
2020-02-08	Fujian	239	0	2020-02-08 21:01:44
2020-02-08	Gansu	71	1	2020-02-08 21:01:44
2020-02-08	Guangdong	1075	1	2020-02-08 21:01:44
2020-02-08	Guangxi	183	0	2020-02-08 21:01:44
2020-02-08	Guizhou	89	1	2020-02-08 21:01:44
2020-02-08	Hainan	124	2	2020-02-08 21:01:44
2020-02-08	Hebei	195	1	2020-02-08 21:01:44
2020-02-08	Heilongjiang	295	5	2020-02-08 21:01:44
2020-02-08	Henan	981	4	2020-02-08 21:01:44
2020-02-08	Hong Kong	26	1	2020-02-08 21:01:44
2020-02-08	Hubei	24953	699	2020-02-08 21:01:44
2020-02-08	Hunan	803	0	2020-02-08 21:01:44
2020-02-08	Inner Mongolia	52	0	2020-02-08 21:01:44
2020-02-08	Jiangsu	439	0	2020-02-08 21:01:44
2020-02-08	Jiangxi	698	0	2020-02-08 21:01:44
2020-02-08	Jilin	69	1	2020-02-08 21:01:44
2020-02-08	Liaoning	103	0	2020-02-08 21:01:44
2020-02-08	Macau	10	0	2020-02-08 21:01:44
2020-02-08	Ningxia	45	0	2020-02-08 21:01:44
2020-02-08	Qinghai	18	0	2020-02-08 21:01:44
2020-02-08	Shaanxi	195	0	2020-02-08 21:01:44
2020-02-08	Shandong	407	0	2020-02-08 21:01:44
2020-02-08	Shanghai	286	1	2020-02-08 21:01:44
2020-02-08	Shanxi	104	0	2020-02-08 21:01:44
2020-02-08	Sichuan	363	1	2020-02-08 21:01:44
2020-02-08	Taiwan	17	0	2020-02-08 21:01:44
2020-02-08	Tianjin	88	1	2020-02-08 21:01:44
2020-02-08	Tibet	1	0	2020-02-08 21:01:44
2020-02-08	Xinjiang	42	0	2020-02-08 21:01:44
2020-02-08	Yunnan	138	0	2020-02-08 21:01:44
2020-02-08	Zhejiang	1048	0	2020-02-08 21:01:44
2020-02-07	Anhui	665	0	2020-02-07 23:14:21
2020-02-07	Beijing	297	1	2020-02-07 23:14:21
2020-02-07	CHINA TOTAL	31253	637	2020-02-07 23:14:21
2020-02-07	Chongqing	415	2	2020-02-07 23:14:21
2020-02-07	Fujian	224	0	2020-02-07 23:14:21
2020-02-07	Gansu	67	0	2020-02-07 23:14:21
2020-02-07	Guangdong	1034	1	2020-02-07 23:14:21
2020-02-07	Guangxi	172	0	2020-02-07 23:14:21
2020-02-07	Guizhou	77	1	2020-02-07 23:14:21
2020-02-07	Hainan	115	2	2020-02-07 23:14:21
2020-02-07	Hebei	172	1	2020-02-07 23:14:21
2020-02-07	Heilongjiang	277	3	2020-02-07 23:14:21
2020-02-07	Henan	914	3	2020-02-07 23:14:21
2020-02-07	Hong Kong	24	1	2020-02-07 23:14:21
2020-02-07	Hubei	22112	618	2020-02-07 23:14:21
2020-02-07	Hunan	772	0	2020-02-07 23:14:21
2020-02-07	Inner Mongolia	50	0	2020-02-07 23:14:21
2020-02-07	Jiangsu	408	0	2020-02-07 23:14:21
2020-02-07	Jiangxi	661	0	2020-02-07 23:14:21
2020-02-07	Jilin	65	1	2020-02-07 23:14:21
2020-02-07	Liaoning	95	0	2020-02-07 23:14:21
2020-02-07	Macau	10	0	2020-02-07 23:14:21
2020-02-07	Ningxia	43	0	2020-02-07 23:14:21
2020-02-07	Qinghai	18	0	2020-02-07 23:14:21
2020-02-07	Shaanxi	184	0	2020-02-07 23:14:21
2020-02-07	Shandong	386	0	2020-02-07 23:14:21
2020-02-07	Shanghai	277	1	2020-02-07 23:14:21
2020-02-07	Shanxi	96	0	2020-02-07 23:14:21
2020-02-07	Sichuan	344	1	2020-02-07 23:14:21
2020-02-07	Taiwan	16	0	2020-02-07 23:14:21
2020-02-07	Tianjin	81	1	2020-02-07 23:14:21
2020-02-07	Tibet	1	0	2020-02-07 23:14:21
2020-02-07	Xinjiang	39	0	2020-02-07 23:14:21
2020-02-07	Yunnan	136	0	2020-02-07 23:14:21
2020-02-07	Zhejiang	1006	0	2020-02-07 23:14:21
2020-02-06	Anhui	591	0	2020-02-07 05:01:44
2020-02-06	Beijing	274	1	2020-02-07 05:01:44
2020-02-06	CHINA TOTAL	28138	564	2020-02-07 05:01:44
2020-02-06	Chongqing	400	2	2020-02-07 05:01:44
2020-02-06	Fujian	215	0	2020-02-07 05:01:44
2020-02-06	Gansu	62	0	2020-02-07 05:01:44
2020-02-06	Guangdong	970	0	2020-02-07 05:01:44
2020-02-06	Guangxi	168	0	2020-02-07 05:01:44
2020-02-06	Guizhou	71	1	2020-02-07 05:01:44
2020-02-06	Hainan	106	1	2020-02-07 05:01:44
2020-02-06	Hebei	157	1	2020-02-07 05:01:44
2020-02-06	Heilongjiang	227	3	2020-02-07 05:01:44
2020-02-06	Henan	851	2	2020-02-07 05:01:44
