Date	Total Confirmed	Mainland China	Other Locations	Updated
2020-02-03	17389	17206	183	2020-02-03 15:18:15
2020-02-02	17370	17187	183	2020-02-03 02:42:36
2020-02-01	14514	14341	173	2020-02-03 02:42:36
2020-01-31	11374	11221	153	2020-02-03 02:42:36
2020-01-30	9776	9658	118	2020-02-03 02:42:36
2020-01-29	7783	7678	105	2020-02-03 02:42:36
2020-01-28	6057	5970	87	2020-02-03 02:42:36
2020-01-27	4474	4409	64	2020-02-03 02:42:36
2020-01-26	2794	2737	57	2020-02-03 02:42:36
2020-01-25	2019	1979	40	2020-02-03 02:42:36
2020-01-24	941	916	25	2020-02-03 02:42:36
2020-01-23	653	639	14	2020-02-03 02:42:36
2020-01-22	555	547	8	2020-02-03 02:42:36
2020-01-21	332	326	6	2020-02-03 02:42:36
2020-01-20	282	278	4	2020-02-03 02:42:36
