Country/Region	Latitude	Longitude	Confirmed	Deaths	Recovered	Updated
Mainland China	37.577685	112.292191	17209	361	478	2020-02-03 03:23:04
Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
Singapore	1.283333	103.833333	18			2020-02-02 01:03:32
Hong Kong	22.300000	114.200000	15			2020-02-02 23:53:02
South Korea	36.000000	128.000000	15			2020-02-02 02:23:13
Australia	-25.000000	133.000000	12		2	2020-02-02 05:13:26
US	40.000000	-100.000000	11			2020-02-02 23:03:17
Germany	51.000000	9.000000	10			2020-02-02 18:03:05
Taiwan	23.700000	121.000000	10			2020-01-31 15:20:56
Macau	22.166667	113.550000	8			2020-02-02 04:23:14
Malaysia	2.500000	112.500000	8			2020-01-31 08:15:53
France	47.000000	2.000000	6			2020-02-01 01:52:40
Vietnam	16.000000	108.000000	6		1	2020-02-01 07:38:12
United Arab Emirates	24.000000	54.000000	5			2020-02-02 05:43:01
Canada	53.868409	-101.015459	4			2020-02-01 18:12:46
Italy	43.000000	12.000000	2			2020-01-31 08:15:53
Russia	60.000000	90.000000	2			2020-01-31 16:13:45
Philippines	13.000000	122.000000	2	1		2020-02-02 03:33:07
India	21.000000	78.000000	2			2020-02-02 06:03:08
UK	55.000000	-3.000000	2			2020-02-01 01:52:40
Nepal	28.166667	84.250000	1			2020-01-31 08:15:53
Cambodia	11.550000	104.916667	1			2020-01-31 08:15:53
Spain	28.291600	-16.629100	1			2020-02-01 23:43:02
Finland	64.000000	26.000000	1			2020-01-31 08:15:53
Sweden	63.000000	16.000000	1			2020-02-01 02:13:26
Sri Lanka	7.000000	81.000000	1			2020-01-31 08:15:53
