Province/State	Country/Region	Confirmed	Deaths	Recovered	Updated
Hubei	Mainland China	51986	1426	4131	2020-02-14 00:13:23
Guangdong	Mainland China	1261	2	334	2020-02-14 02:13:06
Henan	Mainland China	1184	11	316	2020-02-14 02:13:06
Zhejiang	Mainland China	1155		367	2020-02-14 01:13:05
Hunan	Mainland China	988	2	352	2020-02-14 01:23:02
Anhui	Mainland China	934	6	166	2020-02-14 01:33:02
Jiangxi	Mainland China	900	1	187	2020-02-14 01:13:06
Jiangsu	Mainland China	593		141	2020-02-14 02:13:06
Chongqing	Mainland China	529	4	128	2020-02-13 23:23:05
Shandong	Mainland China	519	2	111	2020-02-14 00:43:02
Sichuan	Mainland China	463	1	105	2020-02-14 00:43:02
Heilongjiang	Mainland China	418	11	37	2020-02-14 00:23:04
Beijing	Mainland China	366	3	69	2020-02-13 14:13:06
Shanghai	Mainland China	318	1	62	2020-02-14 00:03:08
Hebei	Mainland China	283	3	70	2020-02-14 02:13:06
Fujian	Mainland China	281		59	2020-02-14 00:43:02
Shaanxi	Mainland China	230		49	2020-02-14 02:23:01
Guangxi	Mainland China	226	2	35	2020-02-14 00:23:04
\"Diamond Princess\" cruise ship	Others	218			2020-02-14 00:13:23
Hainan	Mainland China	158	4	30	2020-02-14 00:53:02
Yunnan	Mainland China	156		27	2020-02-13 08:43:08
Guizhou	Mainland China	140	1	28	2020-02-14 01:53:02
Shanxi	Mainland China	126		36	2020-02-13 23:23:05
Tianjin	Mainland China	119	3	21	2020-02-13 23:43:02
Liaoning	Mainland China	117	1	24	2020-02-14 02:13:06
Gansu	Mainland China	90	2	39	2020-02-13 15:53:03
Jilin	Mainland China	86	1	25	2020-02-14 00:43:02
Ningxia	Mainland China	67		24	2020-02-14 01:43:02
Xinjiang	Mainland China	65	1	6	2020-02-14 01:13:06
Inner Mongolia	Mainland China	65		6	2020-02-14 02:03:08
	Others	61			2020-02-07 04:13:20
Cruise Ship	Others	61			2020-02-07 16:33:03
	Singapore	58		15	2020-02-13 14:33:02
Hong Kong	Hong Kong	53	1	1	2020-02-13 14:53:02
	Thailand	33		12	2020-02-13 17:53:03
	Japan	28	1	9	2020-02-13 12:23:05
	South Korea	28		7	2020-02-12 14:43:03
	Malaysia	19		3	2020-02-13 10:53:02
Qinghai	Mainland China	18		11	2020-02-13 08:43:08
Taiwan	Taiwan	18		2	2020-02-14 02:13:06
	Germany	16		1	2020-02-13 15:13:11
	Vietnam	16		7	2020-02-13 06:33:02
	France	11		2	2020-02-12 18:53:02
Macau	Macau	10		3	2020-02-13 14:13:06
	UK	9		1	2020-02-12 19:03:06
	United Arab Emirates	8		1	2020-02-12 00:33:02
Queensland	Australia	5			2020-02-09 19:33:02
New South Wales	Australia	4		4	2020-02-13 17:53:03
Victoria	Australia	4		4	2020-02-13 17:53:03
British Columbia	Canada	4			2020-02-07 05:43:03
	Italy	3			2020-02-07 17:53:02
	Philippines	3	1	1	2020-02-12 07:43:02
Ontario	Canada	3			2020-02-01 18:12:49
	India	3			2020-02-13 18:53:02
South Australia	Australia	2			2020-02-02 22:33:07
Toronto	Canada	2			2020-02-04 00:03:11
Toronto, ON	Canada	2			2020-02-04 00:13:06
	Russia	2		2	2020-02-12 14:43:03
	Spain	2			2020-02-09 20:33:03
Chicago, IL	US	2		2	2020-02-09 19:03:03
San Benito, CA	US	2			2020-02-03 03:53:02
San Diego County, CA	US	2			2020-02-13 03:13:08
Santa Clara, CA	US	2			2020-02-03 00:43:02
	Cambodia	1		1	2020-02-12 07:43:02
San Antonio, TX	US	1			2020-02-13 18:53:02
London, ON	Canada	1		1	2020-02-12 18:53:03
Seattle, WA	US	1		1	2020-02-09 07:03:04
	Finland	1		1	2020-02-12 00:03:12
Tempe, AZ	US	1			2020-02-01 19:43:03
Tibet	Mainland China	1		1	2020-02-12 06:43:02
	Nepal	1		1	2020-02-12 14:43:03
	Sri Lanka	1		1	2020-02-08 03:43:03
	Sweden	1			2020-02-01 02:13:26
Boston, MA	US	1			2020-02-01 19:43:03
Los Angeles, CA	US	1			2020-02-01 19:53:03
Madison, WI	US	1			2020-02-05 21:53:02
	Belgium	1			2020-02-04 15:43:02
Orange, CA	US	1			2020-02-01 19:53:03
