updated	id	confirmed	deaths	recovered
2020-01-29 21:00:00	2	4586		90
2020-01-26 11:00:00	2	1058		42
2020-01-21 22:00:00	5	270		
2020-01-30 11:00:00	8	4903		90
2020-01-29 14:30:00	11	3554		88
2020-01-29 13:30:00	14	3554		80
2020-01-23 12:00:00	17	444		28
2020-01-26 23:00:00	20	1423		44
2020-01-28 13:00:00	23	2714		52
2020-01-31 19:00:00	26	7153		169
2020-02-01 10:00:00	29	7153		168
2020-01-27 20:30:00	32	2714		47
2020-01-25 12:00:00	35	729		32
2020-01-28 18:00:00	38	3554		80
2020-01-28 23:00:00	41	3554		80
2020-01-27 09:00:00	44	1423		45
2020-02-03 21:00:00	47	13522		386
2020-02-02 21:00:00	50	11177		295
2020-01-22 12:00:00	53	444		
2020-01-27 19:00:00	56	1423		45
2020-01-24 12:00:00	59	549		31
2020-01-25 22:00:00	62	1052		42
2020-01-31 14:00:00	65	5806		141
2020-01-30 11:00:00	5	428		4
2020-01-29 14:30:00	77	296		3
2020-01-29 21:00:00	80	428		4
2020-01-21 22:00:00	83	5		
2020-01-26 11:00:00	86	104		1
2020-01-31 19:00:00	89	537		14
2020-01-23 12:00:00	92	27		
2020-01-29 13:30:00	95	296		3
2020-01-26 23:00:00	98	128		1
2020-01-28 13:00:00	101	173		3
2020-02-03 21:00:00	104	724		43
2020-01-27 09:00:00	107	128		1
2020-02-02 21:00:00	110	724		36
2020-01-22 12:00:00	113	10		
2020-01-27 20:30:00	116	173		1
2020-02-01 10:00:00	119	599		21
2020-01-25 12:00:00	122	62		1
2020-01-28 18:00:00	125	173		3
2020-01-28 23:00:00	128	296		3
2020-01-31 14:00:00	131	538		14
2020-01-24 12:00:00	134	43		1
2020-01-27 19:00:00	137	128		1
2020-01-25 22:00:00	143	104		1
2020-01-27 20:30:00	8	151		4
2020-02-01 10:00:00	152	535		14
2020-01-28 18:00:00	155	207		4
2020-01-25 12:00:00	158	78		2
2020-01-28 23:00:00	161	241		5
2020-02-03 21:00:00	164	725		21
2020-01-27 09:00:00	167	151		3
2020-02-02 21:00:00	170	683		15
2020-01-22 12:00:00	173	26		
2020-01-24 12:00:00	176	53		2
2020-01-27 19:00:00	179	151		4
2020-01-25 22:00:00	182	98		2
2020-01-31 14:00:00	185	436		11
2020-01-29 21:00:00	188	311		6
2020-01-26 11:00:00	197	111		2
2020-01-21 22:00:00	200	17		
2020-01-30 11:00:00	203	354		10
2020-01-29 14:30:00	206	277		5
2020-01-29 13:30:00	209	277		4
2020-01-23 12:00:00	212	32		2
2020-01-28 13:00:00	215	207		4
2020-01-26 23:00:00	218	146		2
2020-01-31 19:00:00	221	436		10
2020-01-25 12:00:00	11	32		
2020-01-31 14:00:00	227	352		3
2020-01-24 12:00:00	230	9		
2020-01-27 19:00:00	233	128		
2020-01-25 22:00:00	239	83		
2020-01-22 12:00:00	242	5		
2020-02-03 21:00:00	245	675		14
2020-01-27 09:00:00	248	128		
2020-02-02 21:00:00	251	566		14
2020-01-28 18:00:00	254	168		
2020-01-28 23:00:00	260	206		1
2020-02-01 10:00:00	263	422		3
2020-01-27 20:30:00	266	168		
2020-01-31 19:00:00	269	352		3
2020-01-28 13:00:00	272	168		
2020-01-29 13:30:00	275	206		1
2020-01-26 23:00:00	278	128		
2020-01-23 12:00:00	281	5		
2020-01-30 11:00:00	284	278		2
2020-01-29 14:30:00	287	206		1
2020-01-29 21:00:00	290	278		2
2020-01-26 11:00:00	293	83		
2020-01-27 19:00:00	14	100		
2020-01-24 12:00:00	299	24		
2020-01-25 22:00:00	302	69		
2020-01-31 14:00:00	305	332		2
2020-01-25 12:00:00	308	43		
2020-02-01 10:00:00	314	389		8
2020-01-27 20:30:00	317	100		
2020-01-28 18:00:00	320	143		
2020-01-28 23:00:00	326	221		
2020-02-03 21:00:00	329	521		22
2020-01-27 09:00:00	332	100		
2020-02-02 21:00:00	335	521		16
2020-01-22 12:00:00	338	4		
2020-01-23 12:00:00	341	9		
2020-01-29 13:30:00	344	221		
2020-01-26 23:00:00	347	100		
2020-01-28 13:00:00	350	143		
2020-01-31 19:00:00	353	332		3
2020-01-29 21:00:00	356	277		
2020-01-21 22:00:00	359	1		
2020-01-26 11:00:00	362	69		
2020-01-30 11:00:00	365	277		2
2020-01-29 14:30:00	368	221		
2020-01-22 12:00:00	17	1		
2020-01-27 09:00:00	374	70		
2020-02-03 21:00:00	377	480		14
2020-02-02 21:00:00	380	408		7
2020-01-28 18:00:00	383	106		
2020-01-25 12:00:00	386	39		
2020-01-28 23:00:00	389	152		
2020-01-27 20:30:00	392	106		
2020-02-01 10:00:00	395	297		5
2020-01-31 14:00:00	398	237		3
2020-01-24 12:00:00	404	15		
2020-01-27 19:00:00	407	70		
2020-01-25 22:00:00	413	60		
2020-01-30 11:00:00	416	200		2
2020-01-29 14:30:00	419	152		2
2020-01-29 21:00:00	422	200		2
2020-01-26 11:00:00	425	60		
2020-01-31 19:00:00	428	237		3
2020-01-29 13:30:00	431	152		2
2020-01-28 13:00:00	434	106		
2020-01-23 12:00:00	437	9		
2020-01-26 23:00:00	440	70		
2020-01-25 12:00:00	20	57		
2020-01-24 12:00:00	446	27		
2020-01-31 14:00:00	449	211		1
2020-01-25 22:00:00	452	75		
2020-01-27 19:00:00	455	110		
2020-01-22 12:00:00	458	6		
2020-01-27 09:00:00	464	110		
2020-02-03 21:00:00	467	337		9
