id	place	region	latitude	longitude	country_first_confirmed_date
2	Hubei	Mainland China	30.975640	112.270700	2020-01-03
5	Zhejiang	Mainland China	29.182510	120.098500	2020-01-03
8	Guangdong	Mainland China	23.338410	113.422000	2020-01-03
11	Henan	Mainland China	33.882020	113.614000	2020-01-03
14	Hunan	Mainland China	27.610410	111.708800	2020-01-03
17	Anhui	Mainland China	31.825710	117.226400	2020-01-03
20	Chongqing	Mainland China	30.057180	107.874000	2020-01-03
23	Jiangxi	Mainland China	27.614010	115.722100	2020-01-03
26	Shandong	Mainland China	36.343770	118.152900	2020-01-03
29	Sichuan	Mainland China	30.617140	102.710300	2020-01-03
32	Jiangsu	Mainland China	32.970270	119.464000	2020-01-03
35	Beijing	Mainland China	40.182380	116.414200	2020-01-03
38	Shanghai	Mainland China	31.203270	121.455400	2020-01-03
41	Fujian	Mainland China	26.077830	117.989500	2020-01-03
44	Guangxi	Mainland China	23.829080	108.788100	2020-01-03
47	Shaanxi	Mainland China	35.191650	108.870100	2020-01-03
50	Yunnan	Mainland China	24.974110	101.486800	2020-01-03
53	Hebei	Mainland China	38.042800	114.514900	2020-01-03
56	Heilongjiang	Mainland China	47.862000	127.762200	2020-01-03
59	Hainan	Mainland China	19.196730	109.745500	2020-01-03
62	Liaoning	Mainland China	41.292840	122.608600	2020-01-03
65	Shanxi	Mainland China	37.577690	112.292200	2020-01-03
68	Tianjin	Mainland China	39.293620	117.333000	2020-01-03
71	Gansu	Mainland China	36.061100	103.834300	2020-01-03
74	Guizhou	Mainland China	26.815360	106.874800	2020-01-03
77	Inner Mongolia	Mainland China	44.094480	113.945600	2020-01-03
80	Ningxia	Mainland China	37.269230	106.165500	2020-01-03
83	Jilin	Mainland China	43.666570	126.191700	2020-01-03
86	Xinjiang	Mainland China	41.119810	85.178220	2020-01-03
89	Qinghai	Mainland China	35.659450	96.025640	2020-01-03
92	Tibet	Mainland China	30.153400	88.787900	2020-01-03
95		Thailand	13.756300	100.501800	2020-01-13
98		Japan	35.676200	139.650300	2020-01-16
101	Taiwan	Taiwan	23.697800	120.960500	2020-01-21
104		South Korea	37.566500	126.978000	2020-01-21
107	Washington	US	47.751100	-120.740000	2020-01-21
110	Macau	Macau	22.198700	113.543900	2020-01-22
113	Hong Kong	Hong Kong	22.319300	114.169400	2020-01-23
116		Singapore	1.352100	103.819800	2020-01-23
119		Vietnam	21.027800	105.834200	2020-01-23
122		France	46.227600	2.213700	2020-01-24
125	Illinois	US	40.633100	-89.398500	2020-01-24
128		Malaysia	4.210500	101.975800	2020-01-25
131		Nepal	28.394900	84.124000	2020-01-25
134	New South Wales	Australia	-33.868800	151.209300	2020-01-26
137	California	US	36.778300	-119.418000	2020-01-26
140	Victoria	Australia	-37.813600	144.963100	2020-01-26
143	Ontario	Canada	43.653200	-79.383200	2020-01-26
146	Arizona	US	34.048900	-111.094000	2020-01-26
149	Bavaria	Germany	51.165700	10.451500	2020-01-27
152	Queensland	Australia	-27.469800	153.025100	2020-01-27
155		Cambodia	12.565700	104.991000	2020-01-27
158		Sri Lanka	7.873100	80.771800	2020-01-27
161	British Columbia	Canada	49.282700	-123.121000	2020-01-28
164		United Arab Emirates	23.424100	53.847800	2020-01-29
167		India	20.593700	78.962900	2020-01-29
170		Philippines	12.879700	121.774000	2020-01-29
173		Finland	61.924100	25.748200	2020-01-29
176		Italy	41.871900	12.567400	2020-01-31
179		Russia	61.524000	105.318800	2020-01-31
182		UK	55.378100	-3.436000	2020-01-31
185		Sweden	60.128200	18.643500	2020-01-31
188	South Australia	Australia	-34.928500	138.600700	2020-02-01
191		Spain	40.463700	-3.749200	2020-02-01
194	Boston, MA	US	42.360100	-71.058900	2020-02-02
2294		Germany	51.165700	10.451500	2020-01-27
8483		Belgium	50.503900	4.469900	2020-02-04
9089	Madison, WI	US	43.073100	-89.401200	2020-02-05
16841		Others	35.443700	129.638000	2020-02-07
16949	Seattle, WA	US	47.751100	-120.740000	2020-01-21
16970	Chicago, IL	US	40.633100	-89.398500	2020-01-24
16991	Toronto, ON	Canada	43.653200	-79.383200	2020-01-26
16994	Tempe, AZ	US	34.048900	-111.094000	2020-01-26
17039	London, ON	Canada	42.984900	-81.245300	2020-01-31
19016	San Benito, CA	US	36.576100	-120.987600	2020-02-03
19025	Cruise Ship	Others	35.443700	129.638000	2020-02-07
