locationid	location	country	latitude	longitude	updated
470	New South Wales	Australia	-32.330000	146.770000	2020-02-04 19:43:15
476	Victoria	Australia	-36.980000	144.640000	2020-02-04 19:43:15
473	Queensland	Australia	-22.900000	144.700000	2020-02-04 19:43:15
474	South Australia	Australia	-29.490000	135.950000	2020-02-04 19:43:15
802	Sihanoukville	Cambodia	10.616000	103.578000	2020-02-04 19:43:15
833	Ontario	Canada	49.790000	-83.790000	2020-02-04 19:43:15
826	British Columbia	Canada	55.070000	-124.290000	2020-02-04 19:43:15
911	Hubei	China	31.118000	112.293000	2020-02-04 19:43:15
930	Zhejiang	China	29.138000	119.894000	2020-02-04 19:43:15
903	Guangdong	China	23.115000	113.260000	2020-02-04 19:43:15
909	Henan	China	34.194000	113.302000	2020-02-04 19:43:15
912	Hunan	China	27.854900	111.832600	2020-02-04 19:43:15
898	Anhui	China	32.106000	117.081000	2020-02-04 19:43:15
914	Jiangxi	China	27.999000	115.598000	2020-02-04 19:43:15
900	Chongqing	China	29.536400	106.564600	2020-02-04 19:43:15
924	Sichuan	China	30.650000	102.881000	2020-02-04 19:43:15
921	Shandong	China	36.187000	118.444000	2020-02-04 19:43:15
913	Jiangsu	China	33.022000	120.081000	2020-02-04 19:43:15
922	Shanghai	China	31.227000	121.498000	2020-02-04 19:43:15
899	Beijing	China	39.906217	116.391276	2020-02-04 19:43:15
901	Fujian	China	26.215000	118.389000	2020-02-04 19:43:15
920	Shaanxi	China	34.827000	109.006000	2020-02-04 19:43:15
904	Guangxi	China	23.831000	108.831000	2020-02-04 19:43:15
907	Hebei	China	38.763000	115.532000	2020-02-04 19:43:15
929	Yunnan	China	24.642000	101.744000	2020-02-04 19:43:15
908	Heilongjiang	China	47.798000	128.320000	2020-02-04 19:43:15
916	Liaoning	China	40.997520	122.995547	2020-02-04 19:43:15
906	Hainan	China	19.179000	109.534000	2020-02-04 19:43:15
923	Shanxi	China	37.688000	112.083000	2020-02-04 19:43:15
926	Tianjin	China	39.124000	117.191000	2020-02-04 19:43:15
902	Gansu	China	38.007000	102.047000	2020-02-04 19:43:15
905	Guizhou	China	26.986000	106.699000	2020-02-04 19:43:15
918	Ningxia	China	37.409000	105.908000	2020-02-04 19:43:15
917	Nei Mongol	China	43.085000	114.302000	2020-02-04 19:43:15
927	Xinjiang	China	41.063000	84.639000	2020-02-04 19:43:15
915	Jilin	China	43.620000	126.145000	2020-02-04 19:43:15
919	Qinghai	China	35.780000	96.570000	2020-02-04 19:43:15
928	Tibet	China	31.550000	87.990000	2020-02-04 19:43:15
1244	Lapland	Finland	67.550000	26.520000	2020-02-04 19:43:15
1259	Ile de France	France	48.830000	2.403000	2020-02-04 19:43:15
1249	Aquitaine	France	44.830000	-0.571000	2020-02-04 19:43:15
1309	Bavaria	Germany	48.810000	11.600000	2020-02-04 19:43:15
910	Hong-Kong	Hong-Kong	22.308200	114.180900	2020-02-04 19:43:15
1495	Kerala	India	10.290000	76.550000	2020-02-04 19:43:15
1622	Lazio	Italy	41.857000	12.818000	2020-02-04 19:43:15
1690	Tokyo	Japan	35.688200	139.549700	2020-02-04 19:43:15
1651	Aichi	Japan	35.020000	137.236000	2020-02-04 19:43:15
