locationid	date	confirmed	deaths
470	2020-01-26	3	
470	2020-01-28	4	
470	2020-02-03	4	
470	2020-01-29	4	
470	2020-01-30	4	
470	2020-01-27	4	
470	2020-01-25	3	
470	2020-01-31	4	
470	2020-02-01	4	
470	2020-02-02	4	
476	2020-02-03	4	
476	2020-01-28	1	
476	2020-01-26	1	
476	2020-01-30	3	
476	2020-01-29	2	
476	2020-01-27	1	
476	2020-01-25	1	
476	2020-02-01	4	
476	2020-01-31	3	
476	2020-02-02	4	
473	2020-02-02	2	
473	2020-01-29	1	
473	2020-01-30	2	
473	2020-01-31	2	
473	2020-02-01	2	
473	2020-02-03	2	
474	2020-02-01	2	
474	2020-02-03	2	
474	2020-02-02	2	
802	2020-01-27	1	
802	2020-02-02	1	
802	2020-02-01	1	
802	2020-01-31	1	
802	2020-01-29	1	
802	2020-01-30	1	
802	2020-01-28	1	
802	2020-02-03	1	
833	2020-02-01	3	
833	2020-01-31	3	
833	2020-02-02	3	
833	2020-01-27	2	
833	2020-01-25	1	
833	2020-01-26	1	
833	2020-02-03	3	
833	2020-01-28	2	
833	2020-01-29	2	
833	2020-01-30	2	
826	2020-01-31	1	
826	2020-02-01	1	
826	2020-01-28	1	
826	2020-02-03	1	
826	2020-01-30	1	
826	2020-01-29	1	
826	2020-02-02	1	
911	2020-01-13	44	1
911	2020-01-10	44	1
911	2020-01-24	729	39
911	2020-01-31	7153	249
911	2020-02-01	9074	294
911	2020-01-25	1058	52
911	2020-01-22	444	17
911	2020-01-20	270	3
911	2020-01-23	549	24
911	2020-01-16	45	2
911	2020-01-29	4586	162
911	2020-01-30	5806	204
911	2020-01-28	3554	125
911	2020-01-17	62	2
911	2020-01-21	375	9
911	2020-01-15	44	2
911	2020-02-02	11177	350
911	2020-01-27	2714	100
911	2020-01-14	44	1
911	2020-01-11	44	1
911	2020-01-26	1423	76
911	2020-01-19	198	3
911	2020-02-03	13522	414
911	2020-01-12	44	1
911	2020-01-18	121	2
930	2020-01-25	104	
930	2020-01-22	10	
930	2020-01-23	43	
930	2020-01-27	173	
930	2020-02-02	724	
930	2020-01-24	43	
930	2020-01-31	599	
930	2020-02-01	661	
930	2020-01-21	5	
930	2020-01-29	428	
930	2020-01-30	537	
930	2020-01-26	128	
930	2020-01-28	296	
930	2020-02-03	829	
903	2020-01-27	188	
903	2020-02-02	683	
903	2020-01-19	1	
903	2020-02-03	797	
903	2020-01-26	151	
903	2020-01-22	26	
903	2020-01-20	14	
903	2020-01-25	111	
903	2020-01-23	53	
903	2020-02-01	632	
903	2020-01-31	535	
903	2020-01-24	53	
903	2020-01-21	26	
903	2020-01-30	393	
903	2020-01-29	311	
903	2020-01-28	241	
909	2020-02-03	675	2
909	2020-01-28	206	2
909	2020-01-26	128	1
909	2020-01-30	352	2
909	2020-01-29	278	2
909	2020-01-21	1	
909	2020-01-31	422	2
909	2020-02-01	493	2
909	2020-01-24	9	
909	2020-02-02	566	2
909	2020-01-23	5	
909	2020-01-27	168	1
909	2020-01-22	5	
909	2020-01-25	83	1
912	2020-01-23	24	
912	2020-01-27	143	
912	2020-01-25	69	
912	2020-01-22	4	
912	2020-01-24	24	
912	2020-02-01	463	
912	2020-01-31	389	
912	2020-02-02	521	
912	2020-01-21	1	
912	2020-01-26	100	
912	2020-02-03	593	
912	2020-01-28	221	
912	2020-01-29	277	
912	2020-01-30	332	
898	2020-02-02	408	
898	2020-01-24	15	
898	2020-01-31	297	
898	2020-02-01	340	
898	2020-01-25	60	
898	2020-01-22	1	
898	2020-01-27	106	
898	2020-01-23	15	
898	2020-01-29	200	
898	2020-01-30	237	
898	2020-01-26	70	
898	2020-01-28	152	
898	2020-02-03	480	
914	2020-01-25	36	
914	2020-01-22	2	
914	2020-01-23	7	
914	2020-01-27	72	
914	2020-02-02	391	
914	2020-01-24	18	
914	2020-01-31	286	
914	2020-02-01	333	
914	2020-01-21	2	
914	2020-01-29	162	
914	2020-01-30	240	
914	2020-01-26	48	
914	2020-02-03	476	
914	2020-01-28	109	
900	2020-02-02	312	2
900	2020-01-24	27	
900	2020-02-01	275	1
900	2020-01-31	247	1
900	2020-01-25	75	
900	2020-01-22	6	
900	2020-01-23	9	
900	2020-01-27	132	
900	2020-01-29	165	
900	2020-01-30	206	
900	2020-01-26	110	
900	2020-02-03	337	2
900	2020-01-28	147	
900	2020-01-21	5	
924	2020-01-23	8	
924	2020-01-27	90	
924	2020-01-22	5	
924	2020-01-25	44	
924	2020-01-31	207	1
924	2020-02-01	231	1
924	2020-01-24	15	
924	2020-02-02	254	1
924	2020-01-21	2	
924	2020-01-28	108	
924	2020-02-03	282	1
924	2020-01-26	69	
924	2020-01-30	177	1
924	2020-01-29	142	1
921	2020-01-22	2	
921	2020-01-25	46	
921	2020-01-27	95	
921	2020-01-23	6	
921	2020-02-02	259	
921	2020-02-01	230	
921	2020-01-31	206	
921	2020-01-24	15	
921	2020-01-21	1	
921	2020-01-30	184	
921	2020-01-29	145	
921	2020-01-28	121	
921	2020-02-03	275	
