Province/State	Country/Region	confirmed	deaths	updated
HUBEI	CHINA	51986	1318	2020-02-14 06:43:23
GUANGDONG	CHINA	1261	2	2020-02-14 06:43:23
HENAN	CHINA	1184	11	2020-02-14 06:43:23
ZHEJIANG	CHINA	1155	0	2020-02-14 06:43:23
HUNAN	CHINA	988	2	2020-02-14 06:43:23
ANHUI	CHINA	934	6	2020-02-14 06:43:23
JIANGXI	CHINA	900	1	2020-02-14 06:43:23
JIANGSU	CHINA	593	0	2020-02-14 06:43:23
CHONGQING	CHINA	529	4	2020-02-14 06:43:23
SHANDONG	CHINA	519	2	2020-02-14 06:43:23
SICHUAN	CHINA	463	1	2020-02-14 06:43:23
HEILONGJIANG	CHINA	418	11	2020-02-14 06:43:23
BEIJING	CHINA	372	3	2020-02-14 06:43:23
SHANGHAI	CHINA	318	1	2020-02-14 06:43:23
HEBEI	CHINA	283	3	2020-02-14 06:43:23
FUJIAN	CHINA	281	0	2020-02-14 06:43:23
SHAANXI	CHINA	230	0	2020-02-14 06:43:23
GUANGXI	CHINA	226	2	2020-02-14 06:43:23
YUNNAN	CHINA	162	0	2020-02-14 06:43:23
HAINAN	CHINA	157	4	2020-02-14 06:43:23
GUIZHOU	CHINA	140	1	2020-02-14 06:43:23
SHANXI	CHINA	126	0	2020-02-14 06:43:23
TIANJIN	CHINA	119	3	2020-02-14 06:43:23
LIAONING	CHINA	117	1	2020-02-14 06:43:23
GANSU	CHINA	90	2	2020-02-14 06:43:23
JILIN	CHINA	86	1	2020-02-14 06:43:23
NINGXIA	CHINA	67	0	2020-02-14 06:43:23
XINJIANG	CHINA	65	1	2020-02-14 06:43:23
INNER MONGOLIA	CHINA	63	0	2020-02-14 06:43:23
	SINGAPORE	58		2020-02-14 07:13:23
HONG KONG SAR	CHINA	53	1	2020-02-14 06:43:23
	JAPAN	33	1	2020-02-14 06:43:23
	THAILAND	33		2020-02-14 07:13:23
	REPUBLIC OF KOREA	28		2020-02-14 07:13:23
	MALAYSIA	19		2020-02-14 06:43:23
QINGHAI	CHINA	18	0	2020-02-14 06:43:23
TAIPEI	CHINA	18	0	2020-02-14 06:43:23
	GERMANY	16		2020-02-14 06:43:23
	VIET NAM	16		2020-02-14 07:13:23
	AUSTRALIA	15		2020-02-14 06:43:23
	UNITED STATES OF AMERICA	15		2020-02-14 07:13:23
	FRANCE	11		2020-02-14 06:43:23
MACAO SAR	CHINA	10	0	2020-02-14 06:43:23
	UNITED KINGDOM	9		2020-02-14 07:13:23
	UNITED ARAB EMIRATES	8		2020-02-14 07:13:23
	CANADA	7		2020-02-14 06:43:23
	PHILIPPINES	3	1	2020-02-14 06:43:23
	INDIA	3		2020-02-14 06:43:23
	ITALY	3		2020-02-14 06:43:23
	RUSSIAN FEDERATION	2		2020-02-14 07:13:23
	SPAIN	2		2020-02-14 07:13:23
XIZANG	CHINA	1	0	2020-02-14 06:43:23
	BELGIUM	1		2020-02-14 06:43:23
	CAMBODIA	1		2020-02-14 06:43:23
	FINLAND	1		2020-02-14 06:43:23
	NEPAL	1		2020-02-14 06:43:23
	SRI LANKA	1		2020-02-14 07:13:23
	SWEDEN	1		2020-02-14 07:13:23
